80347,"['900115729', '900115736', '900118483', '900108929', '900047150', '900109032', '900114317', '900107201', '900116051', '900114714', '900109229', '900114134', '900108967', '900109348', '900117052', '900115006', '900103249', '900110179', '900059643', '900114460', '900085870', '900102389']"
80348,"['900112342', '900115046', '900115279', '900116598', '900111981', '900112317', '900113543', '900033239', '900102983', '900111467', '900108859', '900116348', '900112537', '900103465', '900098041', '900113938', '900113355', '900107906', '900108221', '900111151', '900118576', '900109525', '900114813', '900114111', '900117026', '900109151', '900105230', '900115759', '900105032']"
80349,"['900106469', '900112931', '900111829', '900114036', '900109431', '900118108', '900116143', '900117120', '900114534', '900113033', '900105707', '900109775', '900111094', '900104655', '900114150', '900118217']"
81037,"['900110731', '900075483', '900067018', '900106526', '900113850']"
80353,"['900109439', '900118103', '900084569', '900092422', '900109017', '900112678', '900104818', '900091972', '900109490', '900115552', '900104036', '900109597', '900097397', '900110768', '900114194', '900104170']"
80355,"['900118081', '900108927', '900113233', '900106207', '900105447', '900109426', '900111933', '900097417', '900117814', '900081742']"
80357,"['900111137', '900112343', '900112667', '900114070', '900115575', '900108949', '900108050', '900108959', '900117140', '900098003', '900113201', '900116923', '900097266', '900115328', '900108779', '900111173', '900109153']"
80359,"['900106194', '900102620', '900107073', '900109370', '900104325', '900111146', '900090397', '900116821', '900109961', '900100429', '900104985', '900105924', '900108310', '900103606', '900088345', '900099236', '900098049', '900118396', '900109442', '900108088', '900090706', '900113321', '900106316', '900106221', '900106288']"
80361,"['900107836', '900100314', '900106184', '900095061', '900100526', '900114610', '900106855', '900101556', '900086796', '900070907', '900097791', '900109936']"
80362,"['900107836', '900106194', '900104438', '900109370', '900104325', '900111146', '900090397', '900116821', '900093917', '900109961', '900104985', '900097801', '900108310', '900088345', '900099236', '900098049', '900118396', '900108088', '900113797', '900090706', '900106316', '900106221', '900106288']"
80363,"['900100314', '900014556', '900095061', '900100526', '900074525', '900107073', '900114610', '900027945', '900106855', '900100429', '900101556', '900103606', '900062917', '900086796', '900094713', '900118644', '900097674', '900097459', '900070907', '900097791', '900109936']"
80364,"['900092273', '900106272', '900099778', '900099782', '900098255', '900105891', '900105640', '900093917', '900093953', '900103481', '900099844', '900108088', '900105922', '900100740', '900119353']"
80365,"['900014556', '900099778', '900052995', '900074525', '900076510', '900083113', '900027945', '900108581', '900062754', '900091056', '900050185', '900095500', '900093953', '900118644', '900077200', '900074417', '900113797', '900096887', '900103925', '900097459', '900081493']"
80366,"['900099778', '900052995', '900074525', '900076510', '900027945', '900108581', '900062754', '900091056', '900050185', '900095500', '900093953', '900077200', '900074417', '900096887', '900103925', '900097459', '900081493']"
80161,"['900108011', '900098729', '900114763', '900107764', '900097511', '900114103', '900103710', '900103704', '900110119', '900110506', '900109418', '900064065', '900109498', '900118929', '900116081', '900105114', '900105988', '900107583']"
